127.0.0.1, -, 26/05/05, 14:45:52, W3SVC, VIVASANMARTIN, 127.0.0.1, 246, 231, 4148, 200, 0, GET, /htmlascripts/htmla.dll, http/dir,
127.0.0.1, -, 26/05/05, 14:45:53, W3SVC, VIVASANMARTIN, 127.0.0.1, 1334, 341, 72, 304, 0, GET, /htmla/spec1.gif, -,
127.0.0.1, -, 26/05/05, 14:45:54, W3SVC, VIVASANMARTIN, 127.0.0.1, 1054, 340, 72, 304, 0, GET, /htmla/serv0.gif, -,
127.0.0.1, -, 26/05/05, 14:45:54, W3SVC, VIVASANMARTIN, 127.0.0.1, 1079, 341, 72, 304, 0, GET, /htmla/iis_t.gif, -,
127.0.0.1, -, 26/05/05, 14:45:54, W3SVC, VIVASANMARTIN, 127.0.0.1, 1010, 339, 72, 304, 0, GET, /htmla/dir1.gif, -,
127.0.0.1, -, 26/05/05, 14:45:54, W3SVC, VIVASANMARTIN, 127.0.0.1, 808, 339, 72, 304, 0, GET, /htmla/log0.gif, -,
127.0.0.1, -, 26/05/05, 14:45:54, W3SVC, VIVASANMARTIN, 127.0.0.1, 574, 338, 72, 304, 0, GET, /htmla/lin.gif, -,
127.0.0.1, -, 26/05/05, 14:45:54, W3SVC, VIVASANMARTIN, 127.0.0.1, 680, 342, 72, 304, 0, GET, /htmla/house_t.gif, -,
127.0.0.1, -, 26/05/05, 14:45:54, W3SVC, VIVASANMARTIN, 127.0.0.1, 681, 339, 72, 304, 0, GET, /htmla/hand.gif, -,
127.0.0.1, -, 26/05/05, 14:46:13, W3SVC, VIVASANMARTIN, 127.0.0.1, 18827, 392, 4148, 200, 0, GET, /htmlascripts/htmla.dll, http/dir,
127.0.0.1, -, 26/05/05, 14:47:00, W3SVC, VIVASANMARTIN, 127.0.0.1, 268, 231, 4148, 200, 0, GET, /htmlascripts/htmla.dll, http/dir,
127.0.0.1, -, 26/05/05, 14:47:01, W3SVC, VIVASANMARTIN, 127.0.0.1, 1140, 341, 72, 304, 0, GET, /htmla/spec1.gif, -,
127.0.0.1, -, 26/05/05, 14:47:02, W3SVC, VIVASANMARTIN, 127.0.0.1, 1129, 341, 72, 304, 0, GET, /htmla/iis_t.gif, -,
127.0.0.1, -, 26/05/05, 14:47:02, W3SVC, VIVASANMARTIN, 127.0.0.1, 1101, 339, 72, 304, 0, GET, /htmla/dir1.gif, -,
127.0.0.1, -, 26/05/05, 14:47:03, W3SVC, VIVASANMARTIN, 127.0.0.1, 1452, 340, 72, 304, 0, GET, /htmla/serv0.gif, -,
127.0.0.1, -, 26/05/05, 14:47:03, W3SVC, VIVASANMARTIN, 127.0.0.1, 1431, 339, 72, 304, 0, GET, /htmla/log0.gif, -,
127.0.0.1, -, 26/05/05, 14:47:03, W3SVC, VIVASANMARTIN, 127.0.0.1, 802, 338, 72, 304, 0, GET, /htmla/lin.gif, -,
127.0.0.1, -, 26/05/05, 14:47:03, W3SVC, VIVASANMARTIN, 127.0.0.1, 896, 342, 72, 304, 0, GET, /htmla/house_t.gif, -,
127.0.0.1, -, 26/05/05, 14:47:03, W3SVC, VIVASANMARTIN, 127.0.0.1, 578, 339, 72, 304, 0, GET, /htmla/hand.gif, -,
127.0.0.1, -, 26/05/05, 14:47:06, W3SVC, VIVASANMARTIN, 127.0.0.1, 2742, 455, 4148, 200, 0, GET, /HtmlaScripts/htmla.dll, http/dir,
127.0.0.1, -, 26/05/05, 14:47:17, W3SVC, VIVASANMARTIN, 127.0.0.1, 14008, 503, 3555, 200, 0, GET, /HtmlaScripts/htmla.dll, http/diredt+/|C%3A%5CWebShare%5Cwwwroot%5Cvivasanmartin|,
127.0.0.1, -, 26/05/05, 14:47:20, W3SVC, VIVASANMARTIN, 127.0.0.1, 17243, 742, 515, 200, 0, POST, /HtmlaScripts/htmla.dll, http/diredtu+/|C%3A%5CWebShare%5Cwwwroot%5Cvivasanmartin|,
127.0.0.1, -, 26/05/05, 14:47:21, W3SVC, VIVASANMARTIN, 127.0.0.1, 17436, 644, 5196, 200, 0, GET, /HtmlaScripts/htmla.dll, dir/bdir+http/diredt%+/|C:\WebShare\wwwroot\vivasanmartin|?rootdir?C:\WebShare\wwwroot\vivasanmartin,
127.0.0.1, -, 26/05/05, 14:47:21, W3SVC, VIVASANMARTIN, 127.0.0.1, 15155, 429, 72, 304, 0, GET, /htmla/of.gif, -,
127.0.0.1, -, 26/05/05, 14:47:21, W3SVC, VIVASANMARTIN, 127.0.0.1, 3809, 429, 72, 304, 0, GET, /htmla/cf.gif, -,
127.0.0.1, -, 26/05/05, 14:47:21, W3SVC, VIVASANMARTIN, 127.0.0.1, 305, 429, 72, 304, 0, GET, /htmla/hd.gif, -,
127.0.0.1, -, 26/05/05, 14:47:37, W3SVC, VIVASANMARTIN, 127.0.0.1, 16326, 647, 5196, 200, 0, GET, /HtmlaScripts/htmla.dll, dir/bdir+http/diredt%+/|C:\WebShare\wwwroot\vivasanmartin|?rootdir?C%3A%5CWebShare%5Cwwwroot%5Cvivasanmartin,
127.0.0.1, -, 26/05/05, 14:47:45, W3SVC, VIVASANMARTIN, 127.0.0.1, 24289, 669, 3095, 200, 0, GET, /HtmlaScripts/htmla.dll, dir/bdir+http/diredt%+/|C:\WebShare\wwwroot\vivasanmartin|?rootdir?C%3A%5CWebShare%5Cwwwroot%5Cvivasanmartin%5ccomentarios,
127.0.0.1, -, 26/05/05, 14:47:49, W3SVC, VIVASANMARTIN, 127.0.0.1, 28588, 771, 413, 200, 0, POST, /HtmlaScripts/htmla.dll, dir/bdiru+http/diredt%+/|C:\WebShare\wwwroot\vivasanmartin|?rootdir?C%3A%5CWebShare%5Cwwwroot%5Cvivasanmartin%5Ccomentarios,
127.0.0.1, -, 26/05/05, 14:47:50, W3SVC, VIVASANMARTIN, 127.0.0.1, 12456, 659, 3555, 200, 0, GET, /HtmlaScripts/htmla.dll, http/diredt%+/|C:\WebShare\wwwroot\vivasanmartin|,
127.0.0.1, -, 26/05/05, 14:48:12, W3SVC, VIVASANMARTIN, 127.0.0.1, 27192, 735, 515, 200, 0, POST, /HtmlaScripts/htmla.dll, http/diredtu+/|C%3A%5CWebShare%5Cwwwroot%5Cvivasanmartin|,
127.0.0.1, -, 26/05/05, 14:48:12, W3SVC, VIVASANMARTIN, 127.0.0.1, 22835, 637, 5196, 200, 0, GET, /HtmlaScripts/htmla.dll, dir/bdir+http/diredt%+/|C:\WebShare\wwwroot\vivasanmartin|?rootdir?C:\WebShare\wwwroot\vivasanmartin,
127.0.0.1, -, 26/05/05, 14:48:26, W3SVC, VIVASANMARTIN, 127.0.0.1, 14021, 647, 5196, 200, 0, GET, /HtmlaScripts/htmla.dll, dir/bdir+http/diredt%+/|C:\WebShare\wwwroot\vivasanmartin|?rootdir?C%3A%5CWebShare%5Cwwwroot%5Cvivasanmartin,
127.0.0.1, -, 26/05/05, 14:49:03, W3SVC, VIVASANMARTIN, 127.0.0.1, 264, 231, 4148, 200, 0, GET, /htmlascripts/htmla.dll, http/dir,
127.0.0.1, -, 26/05/05, 14:49:04, W3SVC, VIVASANMARTIN, 127.0.0.1, 1700, 341, 72, 304, 0, GET, /htmla/spec1.gif, -,
127.0.0.1, -, 26/05/05, 14:49:05, W3SVC, VIVASANMARTIN, 127.0.0.1, 1456, 341, 72, 304, 0, GET, /htmla/iis_t.gif, -,
127.0.0.1, -, 26/05/05, 14:49:05, W3SVC, VIVASANMARTIN, 127.0.0.1, 1373, 340, 72, 304, 0, GET, /htmla/serv0.gif, -,
127.0.0.1, -, 26/05/05, 14:49:05, W3SVC, VIVASANMARTIN, 127.0.0.1, 1348, 339, 72, 304, 0, GET, /htmla/dir1.gif, -,
127.0.0.1, -, 26/05/05, 14:49:05, W3SVC, VIVASANMARTIN, 127.0.0.1, 917, 339, 72, 304, 0, GET, /htmla/log0.gif, -,
127.0.0.1, -, 26/05/05, 14:49:05, W3SVC, VIVASANMARTIN, 127.0.0.1, 538, 338, 72, 304, 0, GET, /htmla/lin.gif, -,
127.0.0.1, -, 26/05/05, 14:49:05, W3SVC, VIVASANMARTIN, 127.0.0.1, 537, 342, 72, 304, 0, GET, /htmla/house_t.gif, -,
127.0.0.1, -, 26/05/05, 14:49:05, W3SVC, VIVASANMARTIN, 127.0.0.1, 528, 339, 72, 304, 0, GET, /htmla/hand.gif, -,
127.0.0.1, -, 26/05/05, 14:49:19, W3SVC, VIVASANMARTIN, 127.0.0.1, 13544, 455, 4148, 200, 0, GET, /HtmlaScripts/htmla.dll, http/dir,
127.0.0.1, -, 26/05/05, 14:50:04, W3SVC, VIVASANMARTIN, 127.0.0.1, 58987, 458, 3499, 200, 0, GET, /HtmlaScripts/htmla.dll, http/diradd,
127.0.0.1, -, 26/05/05, 14:50:21, W3SVC, VIVASANMARTIN, 127.0.0.1, 16852, 607, 373, 200, 0, POST, /HtmlaScripts/htmla.dll, http/diraddu,
127.0.0.1, -, 26/05/05, 14:50:21, W3SVC, VIVASANMARTIN, 127.0.0.1, 142, 528, 3373, 200, 0, GET, /HtmlaScripts/htmla.dll, dir/bdir+http/diradd?rootdir?,
127.0.0.1, -, 26/05/05, 14:50:22, W3SVC, VIVASANMARTIN, 127.0.0.1, 200, 358, 72, 304, 0, GET, /htmla/of.gif, -,
127.0.0.1, -, 26/05/05, 14:50:22, W3SVC, VIVASANMARTIN, 127.0.0.1, 205, 358, 72, 304, 0, GET, /htmla/cf.gif, -,
127.0.0.1, -, 26/05/05, 14:50:22, W3SVC, VIVASANMARTIN, 127.0.0.1, 211, 358, 72, 304, 0, GET, /htmla/hd.gif, -,
127.0.0.1, -, 26/05/05, 14:50:36, W3SVC, VIVASANMARTIN, 127.0.0.1, 14599, 512, 2295, 200, 0, GET, /HtmlaScripts/htmla.dll, dir/bdir+http/diradd?rootdir?C%3A%5cWEBSHARE,
127.0.0.1, -, 26/05/05, 14:50:43, W3SVC, VIVASANMARTIN, 127.0.0.1, 21827, 537, 3002, 200, 0, GET, /HtmlaScripts/htmla.dll, dir/bdir+http/diradd?rootdir?C%3A%5CWEBSHARE%5cWWWROOT,
127.0.0.1, -, 26/05/05, 14:50:50, W3SVC, VIVASANMARTIN, 127.0.0.1, 28030, 563, 4398, 200, 0, GET, /HtmlaScripts/htmla.dll, dir/bdir+http/diradd?rootdir?C%3A%5CWEBSHARE%5CWWWROOT%5cvivasanmartin,
127.0.0.1, -, 26/05/05, 14:53:37, W3SVC, VIVASANMARTIN, 127.0.0.1, 363, 278, 72, 304, 0, GET, /docs/default.htm, -,
127.0.0.1, -, 26/05/05, 14:53:50, W3SVC, VIVASANMARTIN, 127.0.0.1, 13124, 486, 72, 304, 0, GET, /docs/admin.htm, -,
127.0.0.1, -, 26/05/05, 14:55:58, W3SVC, VIVASANMARTIN, 127.0.0.1, 222, 278, 72, 304, 0, GET, /htmla/htmla.htm, -,
127.0.0.1, -, 26/05/05, 14:55:59, W3SVC, VIVASANMARTIN, 127.0.0.1, 1476, 325, 72, 304, 0, GET, /htmla/spec1.gif, -,
127.0.0.1, -, 26/05/05, 14:56:00, W3SVC, VIVASANMARTIN, 127.0.0.1, 1342, 326, 72, 304, 0, GET, /htmla/iis2_t.gif, -,
127.0.0.1, -, 26/05/05, 14:56:00, W3SVC, VIVASANMARTIN, 127.0.0.1, 1256, 322, 72, 304, 0, GET, /htmla/www.gif, -,
127.0.0.1, -, 26/05/05, 14:56:00, W3SVC, VIVASANMARTIN, 127.0.0.1, 1250, 322, 72, 304, 0, GET, /htmla/ftp.gif, -,
127.0.0.1, -, 26/05/05, 14:56:00, W3SVC, VIVASANMARTIN, 127.0.0.1, 704, 327, 72, 304, 0, GET, /htmla/world_t.gif, -,
127.0.0.1, -, 26/05/05, 14:56:00, W3SVC, VIVASANMARTIN, 127.0.0.1, 242, 324, 72, 304, 0, GET, /htmla/bolt.gif, -,
127.0.0.1, -, 26/05/05, 14:56:08, W3SVC, VIVASANMARTIN, 127.0.0.1, 8343, 440, 2532, 200, 0, GET, /HtmlaScripts/htmla.dll, http/serv,
127.0.0.1, -, 26/05/05, 14:56:09, W3SVC, VIVASANMARTIN, 127.0.0.1, 8648, 342, 72, 304, 0, GET, /htmla/iis_t.gif, -,
127.0.0.1, -, 26/05/05, 14:56:09, W3SVC, VIVASANMARTIN, 127.0.0.1, 8436, 340, 72, 304, 0, GET, /htmla/dir0.gif, -,
127.0.0.1, -, 26/05/05, 14:56:09, W3SVC, VIVASANMARTIN, 127.0.0.1, 389, 340, 72, 304, 0, GET, /htmla/log0.gif, -,
127.0.0.1, -, 26/05/05, 14:56:09, W3SVC, VIVASANMARTIN, 127.0.0.1, 8640, 341, 72, 304, 0, GET, /htmla/serv1.gif, -,
127.0.0.1, -, 26/05/05, 14:56:09, W3SVC, VIVASANMARTIN, 127.0.0.1, 134, 339, 72, 304, 0, GET, /htmla/lin.gif, -,
127.0.0.1, -, 26/05/05, 14:56:12, W3SVC, VIVASANMARTIN, 127.0.0.1, 3255, 456, 4148, 200, 0, GET, /HtmlaScripts/htmla.dll, http/dir,
127.0.0.1, -, 26/05/05, 14:56:12, W3SVC, VIVASANMARTIN, 127.0.0.1, 3542, 340, 72, 304, 0, GET, /htmla/serv0.gif, -,
127.0.0.1, -, 26/05/05, 14:56:12, W3SVC, VIVASANMARTIN, 127.0.0.1, 3554, 339, 72, 304, 0, GET, /htmla/dir1.gif, -,
127.0.0.1, -, 26/05/05, 14:56:12, W3SVC, VIVASANMARTIN, 127.0.0.1, 3469, 342, 72, 304, 0, GET, /htmla/house_t.gif, -,
127.0.0.1, -, 26/05/05, 14:56:12, W3SVC, VIVASANMARTIN, 127.0.0.1, 402, 339, 72, 304, 0, GET, /htmla/hand.gif, -,
127.0.0.1, -, 26/05/05, 14:56:44, W3SVC, VIVASANMARTIN, 127.0.0.1, 31585, 456, 2532, 200, 0, GET, /HtmlaScripts/htmla.dll, http/serv,
127.0.0.1, -, 26/05/05, 14:57:04, W3SVC, VIVASANMARTIN, 127.0.0.1, 52283, 650, 299, 200, 0, POST, /HtmlaScripts/htmla.dll, http/servu,
127.0.0.1, -, 26/05/05, 14:57:05, W3SVC, VIVASANMARTIN, 127.0.0.1, 52443, 489, 3799, 200, 0, GET, /htmla/htmla.htm, -,
127.0.0.1, -, 26/05/05, 14:57:13, W3SVC, VIVASANMARTIN, 127.0.0.1, 29118, 441, 1488, 200, 0, GET, /HtmlaScripts/wsadmin.dll, usermain,
127.0.0.1, -, 26/05/05, 14:57:14, W3SVC, VIVASANMARTIN, 127.0.0.1, 8949, 281, 493, 200, 0, GET, /htmla/users1.gif, -,
127.0.0.1, -, 26/05/05, 14:57:14, W3SVC, VIVASANMARTIN, 127.0.0.1, 609, 282, 456, 200, 0, GET, /htmla/groups0.gif, -,
127.0.0.1, -, 26/05/05, 14:57:14, W3SVC, VIVASANMARTIN, 127.0.0.1, 606, 282, 467, 200, 0, GET, /htmla/usrgrp0.gif, -,
127.0.0.1, -, 26/05/05, 14:57:22, W3SVC, VIVASANMARTIN, 127.0.0.1, 8384, 550, 748, 200, 0, POST, /HtmlaScripts/wsadmin.dll, -,
